id,time,status
1,3.84443819,2
2,4.48610449,1
3,0.21697724,2
4,22.07040424,1
5,9.64543737,2
6,36.0,0
7,8.40758643,1
8,5.66130969,2
9,2.84681885,1
10,1.42355788,2
11,3.47120267,2
12,5.59334982,2
13,2.29045683,2
14,33.32913263,2
15,11.16349166,1
16,9.13470026,1
17,13.74288834,2
18,13.95537876,1
19,2.17984602,2
20,4.66612534,2
21,0.69714216,2
22,12.76849556,1
23,11.69528706,2
24,36.0,0
25,14.72974971,2
26,16.07836062,2
27,7.15344456,2
28,3.70025391,2
29,4.20488444,2
30,17.2168959,2
31,5.28903471,2
32,4.29555221,1
33,21.91901017,2
34,4.48812034,1
35,10.63545875,2
36,0.70380509,2
37,0.78063651,1
38,1.89156427,2
39,25.33330507,2
40,29.45165598,1
41,4.27119557,2
42,0.02386223,2
43,1.98489394,1
44,9.90754005,2
45,8.64393671,2
46,6.85488499,1
47,1.62626601,1
48,2.66040363,2
49,36.0,0
50,4.0379196,2
51,6.64164955,1
52,4.15667495,2
53,6.77649724,1
54,5.03043686,2
55,4.09439417,1
56,1.27257423,2
57,3.8357709,1
58,2.53962946,2
59,4.07961086,1
60,1.51006173,1
61,0.95082207,2
62,1.06838397,1
63,7.07854385,2
64,0.34565336,2
65,1.81838801,2
66,2.81511963,2
67,17.43258492,2
68,8.33977727,2
69,9.91173184,1
70,11.14279418,2
71,6.4107329,1
72,3.39450697,2
73,1.42670225,2
74,5.52480849,2
75,4.35936615,1
76,8.74813134,2
77,33.5561888,2
78,0.44754452,2
79,0.39541065,2
80,8.07626402,2
81,14.12748389,2
82,4.6358489,2
83,6.98364094,2
84,6.5902367,2
85,10.21974097,2
86,5.85964841,2
87,4.62994504,2
88,11.80286692,2
89,16.63159381,2
90,5.7013438,2
91,6.2349239,1
92,0.56504461,1
93,24.25983767,1
94,5.44063605,1
95,18.39148243,2
96,4.92860332,1
97,8.37411976,1
98,3.8935555,1
99,3.55897365,2
100,2.24017618,2
101,4.7631564,1
102,15.93922385,2
103,7.70571559,2
104,0.86744909,1
105,26.38492369,1
106,3.24516605,1
107,11.25499628,2
108,5.98770677,1
109,9.72005164,1
110,3.644494,2
111,26.8879022,2
112,1.56626042,2
113,24.31345172,2
114,1.78898762,1
115,15.08502825,2
116,34.22659597,1
117,11.71434271,1
118,1.99396983,2
119,0.84504245,2
120,8.18836037,2
121,1.42424873,1
122,13.42238865,2
123,1.67215084,2
124,1.38418395,2
125,0.89086222,1
126,7.70891984,1
127,3.11236886,2
128,11.53284226,2
129,3.00233278,1
130,18.68775342,2
131,23.20439935,2
132,1.89169853,2
133,18.49224531,1
134,36.0,0
135,29.84598949,1
136,13.10065855,2
137,33.54539328,2
138,5.40479833,1
139,4.01016263,2
140,36.0,0
141,11.73717138,1
142,12.31636885,1
143,12.88212445,2
144,36.0,0
145,2.21191792,2
146,19.50633858,1
147,10.33043096,1
148,8.27802664,1
149,5.73295955,1
150,16.31235838,2
151,3.71653233,2
152,6.22932973,1
153,28.85304557,2
154,2.82138341,2
155,13.7553311,2
156,3.30997895,2
157,0.03322899,2
158,21.85097184,2
159,1.00592868,2
160,18.34471627,2
161,36.0,0
162,2.45216394,1
163,1.40586867,1
164,3.4279137,1
165,5.27515229,2
166,5.38910315,2
167,10.94801548,2
168,10.73563535,1
169,2.48725919,1
170,8.59291985,1
171,6.83650358,2
172,16.21272383,2
173,1.43578528,2
174,14.16449118,2
175,32.95038357,2
176,7.75856578,2
177,3.93249971,2
178,5.90888364,1
179,0.02354748,2
180,0.34788693,1
181,15.85294697,2
182,4.92384835,2
183,20.72943658,1
184,3.41094169,2
185,11.81837674,1
186,2.15136645,2
187,10.43077577,2
188,1.56643258,2
189,15.03188907,2
190,15.5287897,2
191,7.05304483,2
192,13.57170184,1
193,21.57143625,2
194,11.64421221,2
195,1.44600067,2
196,1.40947979,2
197,36.0,0
198,16.05945015,1
199,5.97104656,2
200,17.80793433,2
201,2.35274469,1
202,28.94694592,2
203,16.81735185,1
204,29.83588564,2
205,10.48041113,2
206,6.47892563,1
207,31.63074967,2
208,22.46381246,2
209,10.57278498,2
210,10.2793099,2
211,1.66306957,2
212,9.27408112,1
213,4.1638762,1
214,1.4969191,1
215,25.28958007,2
216,15.3904978,1
217,0.85685834,2
218,1.76134117,1
219,4.8293266,2
220,20.80146671,2
221,5.08588855,2
222,36.0,0
223,3.70134876,2
224,1.15138544,2
225,36.0,0
226,9.02009583,1
227,17.51051999,2
228,5.13690126,2
229,9.55761564,2
230,7.26183748,1
231,1.40231206,2
232,25.84852025,2
233,36.0,0
234,22.17051619,2
235,6.70029711,2
236,17.31928856,1
237,15.04760378,2
238,16.06371206,1
239,6.52624648,1
240,30.26526535,2
241,33.18341188,2
242,4.40992509,1
243,13.51151721,2
244,21.31280362,2
245,3.19783892,2
246,7.00151082,2
247,21.10602826,2
248,0.09377582,2
249,11.13341747,2
250,8.22169448,1
251,5.31223485,2
252,28.12737631,2
253,20.29563478,2
254,0.55634791,1
255,3.85429404,1
256,2.52801647,1
257,17.53276893,2
258,20.88585233,2
259,1.50348507,1
260,21.20054535,1
261,10.00979514,1
262,2.46731484,2
263,20.58236864,2
264,31.0491936,2
265,11.08646872,1
266,27.30918344,1
267,23.76487321,2
268,36.0,0
269,12.41443612,2
270,13.46596393,2
271,4.9067814,2
272,2.96684001,2
273,10.12993197,2
274,1.93367905,2
275,18.9790379,1
276,15.44040574,1
277,3.47542941,2
278,4.72531507,1
279,12.15579681,2
280,13.46853142,1
281,7.81529592,2
282,2.33259526,2
283,19.17611874,2
284,15.02153472,2
285,32.64910919,1
286,36.0,0
287,9.0046317,1
288,4.97385383,1
289,36.0,0
290,7.68283846,2
291,4.65921159,2
292,7.35367141,2
293,4.36789031,1
294,12.21901251,2
295,18.20820463,2
296,5.8070396,1
297,12.98864127,1
298,21.24985895,1
299,7.77567068,2
300,11.37120032,1
301,1.19631998,1
302,11.24311639,2
303,0.52257483,1
304,24.14809271,2
305,1.01261829,2
306,9.19859803,1
307,0.59617994,2
308,12.32076268,2
309,9.19970156,1
310,1.94623454,1
311,4.26256777,2
312,1.43392714,1
313,23.23674314,2
314,7.90885052,2
315,4.30073397,2
316,13.60509038,2
317,25.45924102,2
318,9.43375283,2
319,11.21739752,2
320,1.08132334,2
321,17.07364508,1
322,3.02540774,2
323,1.40789699,2
324,4.68630128,1
325,1.58500346,2
326,9.36893913,2
327,11.27647605,2
328,24.68148192,1
329,6.72650464,2
330,13.22234136,2
331,2.63448076,2
332,11.70589966,1
333,9.24900072,2
334,4.19458527,1
335,27.93542397,2
336,6.63842872,2
337,1.65313314,1
338,21.17065392,1
339,20.65288555,2
340,5.38548091,2
341,20.59238375,2
342,33.04203243,1
343,13.54594045,2
344,5.73343927,1
345,1.32644381,2
346,36.0,0
347,8.0126205,2
348,36.0,0
349,0.79997445,2
350,36.0,0
351,17.45720543,2
352,20.0292125,2
353,8.53261096,2
354,11.16370641,2
355,36.0,0
356,8.06457054,1
357,2.82464987,2
358,1.79174594,2
359,13.15238604,1
360,0.1363865,1
361,29.41242869,1
362,18.03009098,2
363,9.51400336,2
364,14.16934654,1
365,22.1059911,1
366,5.09861848,2
367,6.95455937,2
368,36.0,0
369,3.54289161,1
370,14.89473547,2
371,13.26384784,2
372,29.48230913,1
373,11.00999062,2
374,25.26508033,2
375,8.61415242,2
376,18.78802645,2
377,2.47608617,2
378,14.66304014,1
379,36.0,0
380,10.30817528,2
381,14.18388976,1
382,6.1587548,2
383,4.12342408,1
384,12.3295644,2
385,25.39442627,2
386,3.64654114,2
387,4.7894989,2
388,6.36593087,1
389,10.96214543,2
390,5.37709459,2
391,5.78889408,2
392,36.0,0
393,0.84181412,2
394,0.73198414,2
395,7.35023354,1
396,7.18054932,2
